Id,NameKey,DescKey,EffectType,EffectParamMin,EffectParamMax,EffectParamGrowth,OptionGroup,SelectedRate
400086,292000040049,522000400016,MaxMPMul,50,50,1,400081,1
400087,292000040008,522000400017,CriticalDamageMul,50,50,1,400081,1
400091,292000040003,522000400011,AttackPowerPhyMul,100,100,1,400091,1
400092,292000040004,522000400012,AttackPowerMagMul,100,100,1,400091,1
400093,292000040018,522000400013,DefensePowerPhyMul,100,100,1,400091,1
400094,292000040019,522000400014,DefensePowerMagMul,100,100,1,400091,1
400095,292000040047,522000400015,MaxHPMul,100,100,1,400091,1
400096,292000040049,522000400016,MaxMPMul,100,100,1,400091,1
400097,292000040008,522000400017,CriticalDamageMul,100,100,1,400091,1
400101,292000040003,522000400011,AttackPowerPhyMul,150,150,1,400101,1
400102,292000040004,522000400012,AttackPowerMagMul,150,150,1,400101,1
400103,292000040018,522000400013,DefensePowerPhyMul,150,150,1,400101,1
400104,292000040019,522000400014,DefensePowerMagMul,150,150,1,400101,1
400105,292000040047,522000400015,MaxHPMul,150,150,1,400101,1
400106,292000040049,522000400016,MaxMPMul,150,150,1,400101,1
400107,292000040008,522000400017,CriticalDamageMul,150,150,1,400101,1
400111,292000040003,522000400011,AttackPowerPhyMul,250,250,1,400111,1
400112,292000040004,522000400012,AttackPowerMagMul,250,250,1,400111,1
400113,292000040018,522000400013,DefensePowerPhyMul,250,250,1,400111,1
400114,292000040019,522000400014,DefensePowerMagMul,250,250,1,400111,1
400115,292000040047,522000400015,MaxHPMul,250,250,1,400111,1
400116,292000040049,522000400016,MaxMPMul,250,250,1,400111,1
400117,292000040008,522000400017,CriticalDamageMul,250,250,1,400111,1
400121,292000040003,522000400011,AttackPowerPhyMul,300,300,1,400121,1
400122,292000040004,522000400012,AttackPowerMagMul,300,300,1,400121,1
400123,292000040018,522000400013,DefensePowerPhyMul,300,300,1,400121,1
400124,292000040019,522000400014,DefensePowerMagMul,300,300,1,400121,1
400125,292000040047,522000400015,MaxHPMul,300,300,1,400121,1
400126,292000040049,522000400016,MaxMPMul,300,300,1,400121,1
400127,292000040008,522000400017,CriticalDamageMul,300,300,1,400121,1
400131,292000040003,522000400011,AttackPowerPhyMul,400,400,1,400131,1
400132,292000040004,522000400012,AttackPowerMagMul,400,400,1,400131,1
400133,292000040018,522000400013,DefensePowerPhyMul,400,400,1,400131,1
400134,292000040019,522000400014,DefensePowerMagMul,400,400,1,400131,1
400135,292000040047,522000400015,MaxHPMul,400,400,1,400131,1
400136,292000040049,522000400016,MaxMPMul,400,400,1,400131,1
400137,292000040008,522000400017,CriticalDamageMul,400,400,1,400131,1
400141,292000040003,522000400011,AttackPowerPhyMul,450,450,1,400141,1
400142,292000040004,522000400012,AttackPowerMagMul,450,450,1,400141,1
400143,292000040018,522000400013,DefensePowerPhyMul,450,450,1,400141,1
400144,292000040019,522000400014,DefensePowerMagMul,450,450,1,400141,1
400145,292000040047,522000400015,MaxHPMul,450,450,1,400141,1
400146,292000040049,522000400016,MaxMPMul,450,450,1,400141,1
400147,292000040008,522000400017,CriticalDamageMul,450,450,1,400141,1
400151,292000040003,522000400011,AttackPowerPhyMul,600,600,1,400151,1
400152,292000040004,522000400012,AttackPowerMagMul,600,600,1,400151,1
400153,292000040018,522000400013,DefensePowerPhyMul,600,600,1,400151,1
400154,292000040019,522000400014,DefensePowerMagMul,600,600,1,400151,1
400155,292000040047,522000400015,MaxHPMul,600,600,1,400151,1
400156,292000040049,522000400016,MaxMPMul,600,600,1,400151,1
400157,292000040008,522000400017,CriticalDamageMul,600,600,1,400151,1
400161,292000040003,522000400011,AttackPowerPhyMul,650,650,1,400161,1
400162,292000040004,522000400012,AttackPowerMagMul,650,650,1,400161,1
400163,292000040018,522000400013,DefensePowerPhyMul,650,650,1,400161,1
400164,292000040019,522000400014,DefensePowerMagMul,650,650,1,400161,1
400165,292000040047,522000400015,MaxHPMul,650,650,1,400161,1
400166,292000040049,522000400016,MaxMPMul,650,650,1,400161,1
400167,292000040008,522000400017,CriticalDamageMul,650,650,1,400161,1
400171,292000040003,522000400011,AttackPowerPhyMul,800,800,1,400171,1
400172,292000040004,522000400012,AttackPowerMagMul,800,800,1,400171,1
400173,292000040018,522000400013,DefensePowerPhyMul,800,800,1,400171,1
400174,292000040019,522000400014,DefensePowerMagMul,800,800,1,400171,1
400175,292000040047,522000400015,MaxHPMul,800,800,1,400171,1
400176,292000040049,522000400016,MaxMPMul,800,800,1,400171,1
400177,292000040008,522000400017,CriticalDamageMul,800,800,1,400171,1
400181,292000040003,522000400011,AttackPowerPhyMul,850,850,1,400181,1
400182,292000040004,522000400012,AttackPowerMagMul,850,850,1,400181,1
400183,292000040018,522000400013,DefensePowerPhyMul,850,850,1,400181,1
400184,292000040019,522000400014,DefensePowerMagMul,850,850,1,400181,1
400185,292000040047,522000400015,MaxHPMul,850,850,1,400181,1
400186,292000040049,522000400016,MaxMPMul,850,850,1,400181,1
400187,292000040008,522000400017,CriticalDamageMul,850,850,1,400181,1
400191,292000040003,522000400011,AttackPowerPhyMul,1000,1000,1,400191,1
400192,292000040004,522000400012,AttackPowerMagMul,1000,1000,1,400191,1
400193,292000040018,522000400013,DefensePowerPhyMul,1000,1000,1,400191,1
400194,292000040019,522000400014,DefensePowerMagMul,1000,1000,1,400191,1
400195,292000040047,522000400015,MaxHPMul,1000,1000,1,400191,1
400196,292000040049,522000400016,MaxMPMul,1000,1000,1,400191,1
400197,292000040008,522000400017,CriticalDamageMul,1000,1000,1,400191,1
400201,292000040003,522000400011,AttackPowerPhyMul,1050,1050,1,400201,1
400202,292000040004,522000400012,AttackPowerMagMul,1050,1050,1,400201,1
400203,292000040018,522000400013,DefensePowerPhyMul,1050,1050,1,400201,1
400204,292000040019,522000400014,DefensePowerMagMul,1050,1050,1,400201,1
400205,292000040047,522000400015,MaxHPMul,1050,1050,1,400201,1
400206,292000040049,522000400016,MaxMPMul,1050,1050,1,400201,1
400207,292000040008,522000400017,CriticalDamageMul,1050,1050,1,400201,1
400211,292000040003,522000400011,AttackPowerPhyMul,1200,1200,1,400211,1
400212,292000040004,522000400012,AttackPowerMagMul,1200,1200,1,400211,1
400213,292000040018,522000400013,DefensePowerPhyMul,1200,1200,1,400211,1
400214,292000040019,522000400014,DefensePowerMagMul,1200,1200,1,400211,1
400215,292000040047,522000400015,MaxHPMul,1200,1200,1,400211,1
400216,292000040049,522000400016,MaxMPMul,1200,1200,1,400211,1
400217,292000040008,522000400017,CriticalDamageMul,1200,1200,1,400211,1
400221,292000040003,522000400011,AttackPowerPhyMul,1250,1250,1,400221,1
400222,292000040004,522000400012,AttackPowerMagMul,1250,1250,1,400221,1
400223,292000040018,522000400013,DefensePowerPhyMul,1250,1250,1,400221,1
400224,292000040019,522000400014,DefensePowerMagMul,1250,1250,1,400221,1
400225,292000040047,522000400015,MaxHPMul,1250,1250,1,400221,1
400226,292000040049,522000400016,MaxMPMul,1250,1250,1,400221,1
400227,292000040008,522000400017,CriticalDamageMul,1250,1250,1,400221,1
400231,292000040003,522000400011,AttackPowerPhyMul,1400,1400,1,400231,1
400232,292000040004,522000400012,AttackPowerMagMul,1400,1400,1,400231,1
400233,292000040018,522000400013,DefensePowerPhyMul,1400,1400,1,400231,1
400234,292000040019,522000400014,DefensePowerMagMul,1400,1400,1,400231,1
400235,292000040047,522000400015,MaxHPMul,1400,1400,1,400231,1
400236,292000040049,522000400016,MaxMPMul,1400,1400,1,400231,1
400237,292000040008,522000400017,CriticalDamageMul,1400,1400,1,400231,1
400241,292000040003,522000400011,AttackPowerPhyMul,1450,1450,1,400241,1
400242,292000040004,522000400012,AttackPowerMagMul,1450,1450,1,400241,1
400243,292000040018,522000400013,DefensePowerPhyMul,1450,1450,1,400241,1
400244,292000040019,522000400014,DefensePowerMagMul,1450,1450,1,400241,1
400245,292000040047,522000400015,MaxHPMul,1450,1450,1,400241,1
400246,292000040049,522000400016,MaxMPMul,1450,1450,1,400241,1
400247,292000040008,522000400017,CriticalDamageMul,1450,1450,1,400241,1
400251,292000040003,522000400011,AttackPowerPhyMul,1600,1600,1,400251,1
400252,292000040004,522000400012,AttackPowerMagMul,1600,1600,1,400251,1
400253,292000040018,522000400013,DefensePowerPhyMul,1600,1600,1,400251,1
400254,292000040019,522000400014,DefensePowerMagMul,1600,1600,1,400251,1
400255,292000040047,522000400015,MaxHPMul,1600,1600,1,400251,1
400256,292000040049,522000400016,MaxMPMul,1600,1600,1,400251,1
400257,292000040008,522000400017,CriticalDamageMul,1600,1600,1,400251,1
400261,292000040003,522000400011,AttackPowerPhyMul,1650,1650,1,400261,1
400262,292000040004,522000400012,AttackPowerMagMul,1650,1650,1,400261,1
400263,292000040018,522000400013,DefensePowerPhyMul,1650,1650,1,400261,1
400264,292000040019,522000400014,DefensePowerMagMul,1650,1650,1,400261,1
400265,292000040047,522000400015,MaxHPMul,1650,1650,1,400261,1
400266,292000040049,522000400016,MaxMPMul,1650,1650,1,400261,1
400267,292000040008,522000400017,CriticalDamageMul,1650,1650,1,400261,1
400271,292000040003,522000400011,AttackPowerPhyMul,1800,1800,1,400271,1
400272,292000040004,522000400012,AttackPowerMagMul,1800,1800,1,400271,1
400273,292000040018,522000400013,DefensePowerPhyMul,1800,1800,1,400271,1
400274,292000040019,522000400014,DefensePowerMagMul,1800,1800,1,400271,1
400275,292000040047,522000400015,MaxHPMul,1800,1800,1,400271,1
400276,292000040049,522000400016,MaxMPMul,1800,1800,1,400271,1
400277,292000040008,522000400017,CriticalDamageMul,1800,1800,1,400271,1
400281,292000040003,522000400011,AttackPowerPhyMul,1850,1850,1,400281,1
400282,292000040004,522000400012,AttackPowerMagMul,1850,1850,1,400281,1
400283,292000040018,522000400013,DefensePowerPhyMul,1850,1850,1,400281,1
400284,292000040019,522000400014,DefensePowerMagMul,1850,1850,1,400281,1
400285,292000040047,522000400015,MaxHPMul,1850,1850,1,400281,1
400286,292000040049,522000400016,MaxMPMul,1850,1850,1,400281,1
400287,292000040008,522000400017,CriticalDamageMul,1850,1850,1,400281,1
400291,292000040003,522000400011,AttackPowerPhyMul,2000,2000,1,400291,1
400292,292000040004,522000400012,AttackPowerMagMul,2000,2000,1,400291,1
400293,292000040018,522000400013,DefensePowerPhyMul,2000,2000,1,400291,1
400294,292000040019,522000400014,DefensePowerMagMul,2000,2000,1,400291,1
400295,292000040047,522000400015,MaxHPMul,2000,2000,1,400291,1
400296,292000040049,522000400016,MaxMPMul,2000,2000,1,400291,1
400297,292000040008,522000400017,CriticalDamageMul,2000,2000,1,400291,1
400301,292000040003,522000400011,AttackPowerPhyMul,2050,2050,1,400301,1
400302,292000040004,522000400012,AttackPowerMagMul,2050,2050,1,400301,1
400303,292000040018,522000400013,DefensePowerPhyMul,2050,2050,1,400301,1
400304,292000040019,522000400014,DefensePowerMagMul,2050,2050,1,400301,1
400305,292000040047,522000400015,MaxHPMul,2050,2050,1,400301,1
400306,292000040049,522000400016,MaxMPMul,2050,2050,1,400301,1
400307,292000040008,522000400017,CriticalDamageMul,2050,2050,1,400301,1
400311,521000400311,522000400311,AttackPowerPhyMul,2100,2100,1,400311,1
400312,521000400312,522000400312,AttackPowerMagMul,2100,2100,1,400311,1
400313,521000400313,522000400313,DefensePowerPhyMul,2100,2100,1,400311,1
400314,521000400314,522000400314,DefensePowerMagMul,2100,2100,1,400311,1
400315,521000400315,522000400315,MaxHPMul,2100,2100,1,400311,1
400316,521000400316,522000400316,MaxMPMul,2100,2100,1,400311,1
400317,521000400317,522000400317,CriticalDamageMul,2100,2100,1,400311,1
400321,521000400311,522000400311,AttackPowerPhyMul,2150,2150,1,400321,1
400322,521000400312,522000400312,AttackPowerMagMul,2150,2150,1,400321,1
400323,521000400313,522000400313,DefensePowerPhyMul,2150,2150,1,400321,1
400324,521000400314,522000400314,DefensePowerMagMul,2150,2150,1,400321,1
400325,521000400315,522000400315,MaxHPMul,2150,2150,1,400321,1
400326,521000400316,522000400316,MaxMPMul,2150,2150,1,400321,1
400327,521000400317,522000400317,CriticalDamageMul,2150,2150,1,400321,1
400331,521000400311,522000400311,AttackPowerPhyMul,2200,2200,1,400331,1
400332,521000400312,522000400312,AttackPowerMagMul,2200,2200,1,400331,1
400333,521000400313,522000400313,DefensePowerPhyMul,2200,2200,1,400331,1
400334,521000400314,522000400314,DefensePowerMagMul,2200,2200,1,400331,1
400335,521000400315,522000400315,MaxHPMul,2200,2200,1,400331,1
400336,521000400316,522000400316,MaxMPMul,2200,2200,1,400331,1
400337,521000400317,522000400317,CriticalDamageMul,2200,2200,1,400331,1
400341,521000400311,522000400311,AttackPowerPhyMul,2250,2250,1,400341,1
400342,521000400312,522000400312,AttackPowerMagMul,2250,2250,1,400341,1
400343,521000400313,522000400313,DefensePowerPhyMul,2250,2250,1,400341,1
400344,521000400314,522000400314,DefensePowerMagMul,2250,2250,1,400341,1
400345,521000400315,522000400315,MaxHPMul,2250,2250,1,400341,1
400346,521000400316,522000400316,MaxMPMul,2250,2250,1,400341,1
400347,521000400317,522000400317,CriticalDamageMul,2250,2250,1,400341,1
400351,521000400311,522000400311,AttackPowerPhyMul,2300,2300,1,400351,1
400352,521000400312,522000400312,AttackPowerMagMul,2300,2300,1,400351,1
400353,521000400313,522000400313,DefensePowerPhyMul,2300,2300,1,400351,1
400354,521000400314,522000400314,DefensePowerMagMul,2300,2300,1,400351,1
400355,521000400315,522000400315,MaxHPMul,2300,2300,1,400351,1
400356,521000400316,522000400316,MaxMPMul,2300,2300,1,400351,1
400357,521000400317,522000400317,CriticalDamageMul,2300,2300,1,400351,1
400361,521000400311,522000400311,AttackPowerPhyMul,2350,2350,1,400361,1
400362,521000400312,522000400312,AttackPowerMagMul,2350,2350,1,400361,1
400363,521000400313,522000400313,DefensePowerPhyMul,2350,2350,1,400361,1
400364,521000400314,522000400314,DefensePowerMagMul,2350,2350,1,400361,1
400365,521000400315,522000400315,MaxHPMul,2350,2350,1,400361,1
400366,521000400316,522000400316,MaxMPMul,2350,2350,1,400361,1
400367,521000400317,522000400317,CriticalDamageMul,2350,2350,1,400361,1
400371,521000400311,522000400311,AttackPowerPhyMul,2400,2400,1,400371,1
400372,521000400312,522000400312,AttackPowerMagMul,2400,2400,1,400371,1
400373,521000400313,522000400313,DefensePowerPhyMul,2400,2400,1,400371,1
400374,521000400314,522000400314,DefensePowerMagMul,2400,2400,1,400371,1
400375,521000400315,522000400315,MaxHPMul,2400,2400,1,400371,1
400376,521000400316,522000400316,MaxMPMul,2400,2400,1,400371,1
400377,521000400317,522000400317,CriticalDamageMul,2400,2400,1,400371,1
400381,521000400311,522000400311,AttackPowerPhyMul,2450,2450,1,400381,1
400382,521000400312,522000400312,AttackPowerMagMul,2450,2450,1,400381,1
400383,521000400313,522000400313,DefensePowerPhyMul,2450,2450,1,400381,1
400384,521000400314,522000400314,DefensePowerMagMul,2450,2450,1,400381,1
400385,521000400315,522000400315,MaxHPMul,2450,2450,1,400381,1
400386,521000400316,522000400316,MaxMPMul,2450,2450,1,400381,1
400387,521000400317,522000400317,CriticalDamageMul,2450,2450,1,400381,1
400391,521000400311,522000400311,AttackPowerPhyMul,2500,2500,1,400391,1
400392,521000400312,522000400312,AttackPowerMagMul,2500,2500,1,400391,1
400393,521000400313,522000400313,DefensePowerPhyMul,2500,2500,1,400391,1
400394,521000400314,522000400314,DefensePowerMagMul,2500,2500,1,400391,1
400395,521000400315,522000400315,MaxHPMul,2500,2500,1,400391,1
400396,521000400316,522000400316,MaxMPMul,2500,2500,1,400391,1
400397,521000400317,522000400317,CriticalDamageMul,2500,2500,1,400391,1
400401,521000400311,522000400311,AttackPowerPhyMul,2550,2550,1,400401,1
400402,521000400312,522000400312,AttackPowerMagMul,2550,2550,1,400401,1
400403,521000400313,522000400313,DefensePowerPhyMul,2550,2550,1,400401,1
400404,521000400314,522000400314,DefensePowerMagMul,2550,2550,1,400401,1
400405,521000400315,522000400315,MaxHPMul,2550,2550,1,400401,1
400406,521000400316,522000400316,MaxMPMul,2550,2550,1,400401,1
400407,521000400317,522000400317,CriticalDamageMul,2550,2550,1,400401,1
999976,292000040007,522000999976,AttackSpeedMul,1036,1036,1,999998,1
999977,521000999977,0,AttackPowerPhy,340,340,1,999998,0
999978,521000999977,0,AttackPowerMag,340,340,1,999998,0
999979,521000999977,0,MaxHP,307,307,1,999998,0
999980,521000999977,0,MaxMP,307,307,1,999998,0
999981,521000999977,0,Penetration,608,608,1,999998,0
999982,521000999977,0,DodgeValue,692,692,1,999998,0
999983,521000999977,0,AddIgnoreDefenseDamage,6,6,1,999998,0
999984,521000999977,0,MPCostMul,486,486,1,999998,0
999985,521000999977,0,SkillCoolTime,391,391,1,999998,0
999986,521000999977,0,ExpGainRate,181,181,1,999998,0
999987,521000999977,0,AdenaGainRate,181,181,1,999998,0
999988,521000999977,0,MPCostMul,1,1,1,999998,0
999989,521000999977,0,MPCostMul,1,1,1,999998,0
999990,521000999977,0,MPCostMul,1,1,1,999998,0
999991,521000999977,0,MPCostMul,1,1,1,999998,0
999992,521000999977,0,MPCostMul,1,1,1,999998,0
999993,521000999977,0,MPCostMul,1,1,1,999998,0
999994,521000999977,0,MPCostMul,1,1,1,999998,0
999995,521000999977,0,MPCostMul,1,1,1,999998,0
999996,521000999977,0,MPCostMul,1,1,1,999998,0
999997,521000999997,521000999997,HPRecovery,500000,500000,1,999999,1
999999,521000999999,522000999999,CriticalValue,1,1,1,999999,1
2100102,521002100102,522002100102,DecreaseDamageMul,50,50,1,2100102,1
2100103,521002100102,522002100103,AntiCriticalRate,100,100,1,2100103,1
2100104,521002100102,522002100104,MaxHPMul,150,150,1,2100104,1
2100112,521002100102,522002100102,DecreaseDamageMul,150,150,1,2100112,1
2100113,521002100102,522002100103,AntiCriticalRate,200,200,1,2100113,1
2100114,521002100102,522002100104,MaxHPMul,250,250,1,2100114,1
2100122,521002100102,522002100102,DecreaseDamageMul,250,250,1,2100122,1
2100123,521002100102,522002100103,AntiCriticalRate,300,300,1,2100123,1
2100124,521002100102,522002100104,MaxHPMul,350,350,1,2100124,1
2100132,521002100102,522002100102,DecreaseDamageMul,350,350,1,2100132,1
2100133,521002100102,522002100103,AntiCriticalRate,400,400,1,2100133,1
2100134,521002100102,522002100104,MaxHPMul,450,450,1,2100134,1
2100142,521002100102,522002100102,DecreaseDamageMul,450,450,1,2100142,1
2100143,521002100102,522002100103,AntiCriticalRate,500,500,1,2100143,1
2100144,521002100102,522002100104,MaxHPMul,550,550,1,2100144,1
2100152,521002100102,522002100102,DecreaseDamageMul,550,550,1,2100152,1
2100153,521002100102,522002100103,AntiCriticalRate,600,600,1,2100153,1
2100154,521002100102,522002100104,MaxHPMul,650,650,1,2100154,1
2100162,521002100102,522002100102,DecreaseDamageMul,650,650,1,2100162,1
2100163,521002100102,522002100103,AntiCriticalRate,700,700,1,2100163,1
2100164,521002100102,522002100104,MaxHPMul,750,750,1,2100164,1
2100202,521002100202,522002100102,DecreaseDamageMul,50,50,1,2100202,1
2100203,521002100202,522002100103,AntiCriticalRate,100,100,1,2100203,1
2100204,521002100202,522002100104,MaxHPMul,150,150,1,2100204,1
2100212,521002100202,522002100102,DecreaseDamageMul,150,150,1,2100212,1
2100213,521002100202,522002100103,AntiCriticalRate,200,200,1,2100213,1
2100214,521002100202,522002100104,MaxHPMul,250,250,1,2100214,1
2100222,521002100202,522002100102,DecreaseDamageMul,250,250,1,2100222,1
2100223,521002100202,522002100103,AntiCriticalRate,300,300,1,2100223,1
2100224,521002100202,522002100104,MaxHPMul,350,350,1,2100224,1
2100232,521002100202,522002100102,DecreaseDamageMul,350,350,1,2100232,1
2100233,521002100202,522002100103,AntiCriticalRate,400,400,1,2100233,1
2100234,521002100202,522002100104,MaxHPMul,450,450,1,2100234,1
2100242,521002100202,522002100102,DecreaseDamageMul,450,450,1,2100242,1
2100243,521002100202,522002100103,AntiCriticalRate,500,500,1,2100243,1
2100244,521002100202,522002100104,MaxHPMul,550,550,1,2100244,1
2100252,521002100202,522002100102,DecreaseDamageMul,550,550,1,2100252,1
2100253,521002100202,522002100103,AntiCriticalRate,600,600,1,2100253,1
2100254,521002100202,522002100104,MaxHPMul,650,650,1,2100254,1
2100262,521002100202,522002100102,DecreaseDamageMul,650,650,1,2100262,1
2100263,521002100202,522002100103,AntiCriticalRate,700,700,1,2100263,1
2100264,521002100202,522002100104,MaxHPMul,750,750,1,2100264,1
2100302,521002100302,522002100102,DecreaseDamageMul,50,50,1,2100302,1
2100303,521002100302,522002100103,AntiCriticalRate,100,100,1,2100303,1
2100304,521002100302,522002100104,MaxHPMul,150,150,1,2100304,1
2100312,521002100302,522002100102,DecreaseDamageMul,150,150,1,2100312,1
2100313,521002100302,522002100103,AntiCriticalRate,200,200,1,2100313,1
2100314,521002100302,522002100104,MaxHPMul,250,250,1,2100314,1
2100322,521002100302,522002100102,DecreaseDamageMul,250,250,1,2100322,1
2100323,521002100302,522002100103,AntiCriticalRate,300,300,1,2100323,1
2100324,521002100302,522002100104,MaxHPMul,350,350,1,2100324,1
2100332,521002100302,522002100102,DecreaseDamageMul,350,350,1,2100332,1
2100333,521002100302,522002100103,AntiCriticalRate,400,400,1,2100333,1
2100334,521002100302,522002100104,MaxHPMul,450,450,1,2100334,1
2100342,521002100302,522002100102,DecreaseDamageMul,450,450,1,2100342,1
2100343,521002100302,522002100103,AntiCriticalRate,500,500,1,2100343,1
2100344,521002100302,522002100104,MaxHPMul,550,550,1,2100344,1
2100352,521002100302,522002100102,DecreaseDamageMul,550,550,1,2100352,1
2100353,521002100302,522002100103,AntiCriticalRate,600,600,1,2100353,1
2100354,521002100302,522002100104,MaxHPMul,650,650,1,2100354,1
2100362,521002100302,522002100102,DecreaseDamageMul,650,650,1,2100362,1
2100363,521002100302,522002100103,AntiCriticalRate,700,700,1,2100363,1
2100364,521002100302,522002100104,MaxHPMul,750,750,1,2100364,1
2100402,521002100402,522002100104,MaxHPMul,50,50,1,2100402,1
2100403,521002100402,522002100403,DefensePowerPhyMul,100,100,1,2100403,1
2100404,521002100402,522002100102,DecreaseDamageMul,150,150,1,2100404,1
2100412,521002100402,522002100104,MaxHPMul,150,150,1,2100412,1
2100413,521002100402,522002100403,DefensePowerPhyMul,200,200,1,2100413,1
2100414,521002100402,522002100102,DecreaseDamageMul,250,250,1,2100414,1
2100422,521002100402,522002100104,MaxHPMul,250,250,1,2100422,1
2100423,521002100402,522002100403,DefensePowerPhyMul,300,300,1,2100423,1
2100424,521002100402,522002100102,DecreaseDamageMul,350,350,1,2100424,1
2100432,521002100402,522002100104,MaxHPMul,350,350,1,2100432,1
2100433,521002100402,522002100403,DefensePowerPhyMul,400,400,1,2100433,1
2100434,521002100402,522002100102,DecreaseDamageMul,450,450,1,2100434,1
2100442,521002100402,522002100104,MaxHPMul,450,450,1,2100442,1
2100443,521002100402,522002100403,DefensePowerPhyMul,500,500,1,2100443,1
2100444,521002100402,522002100102,DecreaseDamageMul,550,550,1,2100444,1
2100452,521002100402,522002100104,MaxHPMul,550,550,1,2100452,1
2100453,521002100402,522002100403,DefensePowerPhyMul,600,600,1,2100453,1
2100454,521002100402,522002100102,DecreaseDamageMul,650,650,1,2100454,1
2100462,521002100402,522002100104,MaxHPMul,650,650,1,2100462,1
2100463,521002100402,522002100403,DefensePowerPhyMul,700,700,1,2100463,1
2100464,521002100402,522002100102,DecreaseDamageMul,750,750,1,2100464,1
2100502,521002100502,522002100104,MaxHPMul,50,50,1,2100502,1
2100503,521002100502,522002100403,DefensePowerPhyMul,100,100,1,2100503,1
2100504,521002100502,522002100102,DecreaseDamageMul,150,150,1,2100504,1
2100512,521002100502,522002100104,MaxHPMul,150,150,1,2100512,1
2100513,521002100502,522002100403,DefensePowerPhyMul,200,200,1,2100513,1
2100514,521002100502,522002100102,DecreaseDamageMul,250,250,1,2100514,1
2100522,521002100502,522002100104,MaxHPMul,250,250,1,2100522,1
2100523,521002100502,522002100403,DefensePowerPhyMul,300,300,1,2100523,1
