Index,Id,NameKey,Resource,SocketName,Scale,Offset_X,Offset_Y,Offset_Z,EffectRotationOnly
55,300009,171000000055,Common/Ratel_Buff_02,Socket_Center,11,,,,1
56,300010,171000000056,Common/Ratel_Buff_02,Socket_Center,13,,,,1
57,300011,171000000057,Common/Poison_DeBuff_Effect,Socket_Top,1,,,,1
58,300012,171000000058,Common/Negative_DeBuff_Effect,Socket_Top,1,,,,1
59,300013,171000000059,BP/BP_PTC_CrumaCoreBoss_Skill06,Socket_Top,1,,,,1
60,300015,171000000060,BP/BP_PTC_QueenAntShield,Socket_Center,1,,,,1
61,600000,171000000061,Enchant/Guild_Crystal_00,FXSocket,1,,,,1
62,600001,171000000062,Enchant/Guild_Crystal_01,FXSocket,1,,,,1
63,600002,171000000063,Enchant/Guild_Crystal_02,FXSocket,1,,,,1
64,600003,171000000064,Enchant/Guild_Crystal_03,FXSocket,1,,,,1
65,111,171000000065,BP/BP_PTC_VehicleSpawn,Socket_Center,1,,,,1
66,741352,171000000066,BP/BP_PTC_BansheeBossSkill_02,Socket_Center,1,,,,1
67,601001,171000000067,Common/Agit_Potion_start01,Fx_Base,1,,,,1
68,601002,171000000068,BP/BP_PTC_Guild_MoveSpeed_Buff_Effect,Socket_Bottom,1,,,,1
69,601003,171000000069,BP/BP_PTC_Guild_EnemySlow_DeBuff_Effect,Socket_Bottom,1,,,,1
70,601004,171000000070,BP/BP_PTC_Guild_IncreaseHeal_Buff_Effect,Socket_Bottom,1,,,,1
71,601005,171000000071,BP/BP_PTC_Guild_DecreaseTargetMP_DeBuff_Effect,Socket_Bottom,1,,,,1
72,300014,171000000072,BP/BP_PTC_QueenAntBossSkill_06,Socket_Center,1,,,,1
73,8010441,171000000073,PC/Human/dailydungeon_damage_up_loop,Socket_Top,1,,,,1
74,801045,171000000074,BP/BP_PTC_WaterCrystalShield,ArtifactCaptureEnd,1,,,-100,1
75,8010461,171000000075,BP/BP_PTC_PartyofFury,Socket_Center,1,,,,1
76,801048,171000000076,BP/BP_PTC_OverPower,Socket_Center,1,,,,1
77,801043,171000000077,Common/DungeonBuff_Get_07,Fx_Base,1,,,,1
78,8010441,171000000078,Common/DungeonBuff_Get_08,Fx_Base,1,,,,1
79,801045,171000000079,Common/DungeonBuff_Get_10,Fx_Base,1,,,,1
80,8010461,171000000074,Common/Buff_PartyofFury_Start,Fx_Base,1,,,,1
81,801048,171000000080,Common/Buff_Powerup_start,Fx_Base,1,,,,1
82,413005,781000411005,Monster/Leonard/jm_Leonard_BossBuff_01,Socket_Center,1,,,,1
83,7411911,171000000083,BP/BP_PTC_Marax_BattleStun,Socket_Center,1,,,,1
84,300141,291000030014,BP/BP_PTC_SkillPoisonStrike,Socket_Center,1,,,,1
86,401021,171000000085,BP/BP_PTC_Boranta_BossSkill_01_Debuff,Socket_Bottom,1,,,,1
87,413010,291000411010,BP/BP_PTC_Leonard_BattleStun,Socket_Bottom,1,,,,1
88,4130181,171000000087,BP/BP_PTC_Debuff_VampireDisease01,Socket_Center,1,,,,1
89,4130182,171000000088,BP/BP_PTC_Debuff_VampireDisease02,Socket_Center,1,,,,1
90,4130183,171000000089,BP/BP_PTC_Debuff_VampireDisease03,Socket_Center,1,,,,1
91,4130184,171000000090,BP/BP_PTC_Debuff_VampireDisease04,Socket_Center,1,,,,1
92,4130185,171000000091,BP/BP_PTC_Debuff_VampireDisease04,Socket_Center,1,,,,1
93,413019,781000411019,BP/BP_PTC_Debuff_VampireTransmutation,Bip01-Spine1,1,,,,0
94,401026,171000000093,BP/BP_PTC_Debuff_Ignition,Socket_Center,1,,,,1
95,4010351,171000000094,BP/BP_PTC_Ramog_BattleStun,Socket_Center,1,,,,1
96,103,171000000095,BP/BP_PTC_Common_Firecracker_01,Socket_Bottom,1,,,,1
97,104,171000000096,BP/BP_PTC_Common_Firecracker_02,Socket_Bottom,1,,,,1
98,105,171000000097,BP/BP_PTC_Common_Firecracker_03,Socket_Bottom,1,,,,1
99,106,171000000098,BP/BP_PTC_Common_Firecracker_04,Socket_Bottom,1,,,,1
100,413011,171000000099,BP/BP_PTC_Debuff_LifeExtortion,FX_Bottom,1,,,,1
101,9902011,171000000100,BP/BP_PTC_CapeBarrier,Socket_Bottom,1,,,,1
102,9903011,171000000101,BP/BP_PTC_CapeBarrier,Socket_Bottom,1,,,,1
103,8,171000000005,Monster/mfx_casting_air_normal_201_kye,Socket_Center,1,,,,1
104,731261,0,BP/BP_PTC_ZakenBossSkill_04,Socket_Center,1,,,,1
105,730222,0,BP/BP_PTC_Buff_SkillEvasionKick,Socket_Center,1,,,,1
106,201,0,BP_PTC_RewardFX_DropItemField,Socket_Center,1,,,,1
107,202,0,BP_PTC_RewardFX_DropItemBoss,Socket_Center,1,,,,1
108,203,0,BP_PTC_RewardFX_BossFinish,Socket_Center,1,,,,1
2000,40020401,0,BP/BP_PTC_Debuff_Net,Socket_Center,1,,,,1
2001,40020403,0,BP/BP_PTC_Buff_StoneArmor,Socket_Center,1,,,,1
400204201,40020420,0,BP/BP_PTC_Buff_DikeBossSkill_05_Fire,Socket_Center,1,,,,1
400204211,40020421,0,BP/BP_PTC_Buff_DikeBossSkill_05_Water,Socket_Center,1,,,,1
400204221,40020422,0,BP/BP_PTC_Buff_DikeBossSkill_05_Earth,Socket_Center,1,,,,1
400204231,40020423,0,BP/BP_PTC_Buff_DikeBossSkill_05_Wind,Socket_Center,1,,,,1
400204461,40020446,0,BP/BP_PTC_Buff_DikeBossSkill_06_01_Fire,Dummy02,1,,,,1
400204471,40020447,0,BP/BP_PTC_Buff_DikeBossSkill_06_01_Water,Dummy02,1,,,,1
400204481,40020448,0,BP/BP_PTC_Buff_DikeBossSkill_06_01_Earth,Dummy02,1,,,,1
400204491,40020449,0,BP/BP_PTC_Buff_DikeBossSkill_06_01_Wind,Dummy02,1,,,,1
2002,40020474,0,BP/BP_PTC_Buff_HagiosBossSkill_04_01,Socket_Center,1,,,,1
2003,40020475,0,BP/BP_PTC_Buff_HagiosBossSkill_04_02,Socket_Center,1,,,,1
2004,40020476,0,BP/BP_PTC_DeBuff_TurnToStone,Socket_Bottom,1,,,,1
2005,40020480,0,BP/BP_PTC_Buff_HagiosBossSkill_06_02_Fire,Socket_Center,1,,,,1
2006,40020482,0,BP/BP_PTC_Buff_HagiosBossSkill_06_02_Water,Socket_Center,1,,,,1
2007,40020484,0,BP/BP_PTC_Buff_HagiosBossSkill_06_02_Earth,Socket_Center,1,,,,1
2008,40020485,0,BP/BP_PTC_Buff_HagiosBossSkill_06_02_Wind,Socket_Center,1,,,,1
